1, 0.6282683417201043, 67.44999694824219  
2, 0.5108529640568628, 74.78888702392578  
3, 0.4389345712131924, 79.43888854980469  
4, 0.39286262086696094, 82.47777557373047  
5, 0.3614602850543128, 83.86666870117188  
6, 0.3293259265522162, 85.6500015258789  
7, 0.30698635195278456, 86.87777709960938  
8, 0.27712771174394424, 88.30000305175781  
9, 0.2571772060667475, 89.06111145019531  
10, 0.22582332053118281, 90.62222290039062  
1, 15.89619013145566, 65.4000015258789  
2, 13.892935813218354, 72.94999694824219  
3, 11.69341339096427, 77.69999694824219  
4, 11.776755110546947, 77.25  
5, 10.922418107837439, 80.3499984741211  
6, 12.04017545543611, 78.9000015258789  
7, 10.791259004175663, 80.75  
8, 10.302435480058193, 82.6500015258789  
9, 10.29632271155715, 82.55000305175781  
10, 12.00151781067252, 81.55000305175781  
Final Result for test loss and acc|0.4672688638791442|82.25
